,,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,crypto,num-nodes,,,,,,,,,,,,
blk_len=40+max_inflight_blk=40,dummy,20,13282.515555555554,38.08975909806047,15.325914533333332,0.2123582977167191,0.0002054433106497047,1.8769754528442136e-05,142.4978054134967,33.65747822158192,0.01105323662725044,4.849229178001323e-05,0.38084460851740604,0.00041394674608670744
blk_len=40+max_inflight_blk=40,dummy,30,12397.155555555555,816.3083871874599,24.260608199999997,1.4673269790396923,0.0003724926254958178,4.7665357043035e-05,143.8278752359225,26.064212035302642,0.011927280797902047,0.00024561835985806416,0.42402373307593483,0.008956899329460916
blk_len=40+max_inflight_blk=40,dummy,40,12492.604444444447,462.7735225948148,34.65851966666667,1.5595313512190778,0.000509743256406534,8.954141570792548e-05,217.53891309686279,24.450432601331677,0.012992280053776332,0.0004898696382517199,0.4739222810910641,0.016325606616699198
blk_len=40+max_inflight_blk=40,dummy,50,10751.315555555557,71.65577136819016,39.60781526666667,0.18863033601818338,0.0005073396470035972,6.173083665969429e-05,276.03938094006946,57.29582419928963,0.012822589713770212,0.0006519565894357784,0.4137073322403446,0.00444809986836898
blk_len=40+max_inflight_blk=40,dummy,60,8604.15111111111,108.8228777689961,41.223676,1.1578854348989638,0.0008107283841381838,0.00011460254604290954,170.19239663741374,7.919668029159309,0.01639339858316162,0.0003339258492434404,0.32488447551013483,0.008088171518899075
blk_len=40+max_inflight_blk=40,dummy,70,8226.08888888889,122.4146754697755,50.532621533333334,1.7073054920478907,0.0010755881916021863,5.7140430547480757e-05,216.10158817672686,13.553302721292042,0.024841455492725106,0.0011054190061015748,0.31890253481010555,0.009281160298099611
blk_len=40+max_inflight_blk=40,dummy,80,6328.746666666667,92.86005336586398,40.123830133333335,0.524890534262389,0.001659793461400659,6.830472582742936e-05,314.94735421673903,14.501465111682478,0.015863800085494012,0.0001293108138082242,0.24243920340079428,0.0025466144454700775
blk_len=40+max_inflight_blk=40,dummy,90,5387.511111111111,104.73469494835906,38.58000526666667,2.083147452524129,0.0020910244105119594,0.00023933591901535974,254.5548516267521,97.13109074559124,0.014828561922488458,0.001944120070502984,0.20328342338466707,0.007953076897631138
blk_len=40+max_inflight_blk=40,dummy,100,4883.760000000001,67.33131614140149,37.977123666666664,0.4188830727545967,0.09808773820745263,0.08683078310948063,140.75336559729354,63.257733839986095,0.016141020763035457,0.0023304313775761305,0.20248882645833463,0.013379232135799616
blk_len=40+max_inflight_blk=40,dummy-ecdsa,20,5493.055555555556,46.14750906162364,6.653042173333333,0.22402100748585577,0.0001562964139871773,3.2342171976378975e-05,71.97806106536633,2.3017282726247363,0.004235357853872974,3.558179989751662e-05,1.634573938472822,0.011913777438598202
blk_len=40+max_inflight_blk=40,dummy-ecdsa,30,5510.5,6.385748020223238,10.877278266666664,0.47329952718980534,0.0003939868514902865,3.8308281038986055e-05,103.05165760582172,15.56668274876836,0.0042436399525543214,5.308041038032201e-05,1.6644347080148274,0.0020578603040457373
blk_len=40+max_inflight_blk=40,dummy-ecdsa,40,5447.5,3.179797338056239,14.703076000000001,0.40032368933931356,0.0005346337660641496,7.941262347378343e-05,106.63652306186383,13.034569175981112,0.004184723119138791,7.6082368708918355e-06,1.6650031451681617,0.0005975583414821306
blk_len=40+max_inflight_blk=40,dummy-ecdsa,50,5379.277777777778,6.236837992777335,18.725771466666668,0.07803350030707006,0.00070255750243611,4.21491712455747e-05,124.19628617070096,15.926938788501355,0.0044270247253035055,3.1358875559847105e-05,1.661131792639124,0.0006895204638585505
blk_len=40+max_inflight_blk=40,dummy-ecdsa,60,5353.055555555556,6.96485888293905,24.426353733333332,0.38277747762376263,0.0007554383887427555,7.243452687598223e-05,104.52888507631631,8.820645285450054,0.004594582853965496,7.030182153201698e-05,1.6560199812590497,0.0007225739014030534
blk_len=40+max_inflight_blk=40,dummy-ecdsa,70,5313.362222222222,3.4181303098058495,29.00957013333333,0.4114838073089306,0.0009003085821950247,5.360269621402081e-05,97.53630450813681,15.217740244137751,0.004677851479312431,5.3312967372724366e-05,1.6489617864375792,0.00034303037821419415
blk_len=40+max_inflight_blk=40,dummy-ecdsa,80,5257.388888888889,4.302238865899949,33.417640666666664,0.7148772485474798,0.0009737635939146445,6.295846096213344e-05,100.37283386830323,19.32125336112525,0.004704834373250599,2.4664085712087326e-05,1.6425145225043014,0.0007385759049226448
blk_len=40+max_inflight_blk=40,dummy-ecdsa,90,5203.36,66.3209780788357,35.490369933333334,0.8002536264235331,0.0012206841550468897,6.461451213367554e-05,136.25338237180185,25.002314340207576,0.005535584108354703,0.00028994808034653855,1.5858897303439126,0.019312544180348223
blk_len=40+max_inflight_blk=40,dummy-ecdsa,100,4477.055555555555,78.79462286598303,34.38132613333334,0.9325555468874188,0.0018075397964719385,0.00014694401527940592,161.988681076174,12.760512044965774,0.007540020839445563,0.0005341187694006118,1.3676700393392396,0.021980811766129822
