,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,num-nodes,,,,,,,,,,,,
narwhal_blk_size=1048576+diem_blk_len=1,48,4943.533333333333,764.6652731751332,88.466335,4.067497408487185,0.29723100791206214,0.06395363441118586,865.8792329514959,408.5629288702413,1.3203740663671817,0.16684192378007215,6.023294350850515,0.18799035201665512
narwhal_blk_size=1048576+diem_blk_len=1,52,5645.8,1022.9941305360019,92.64302866666667,2.1071526205060143,0.32490088959052965,0.04439087742778781,884.9023716941239,145.33211581947717,1.854826434557231,0.41870078019159584,6.237604850426551,0.28596003677255377
narwhal_blk_size=1048576+diem_blk_len=1,56,6399.366666666667,421.62420339549857,95.01591300000001,0.022849448527266773,0.354721058266415,0.03158560439443935,706.3015510697592,41.69873232878486,2.0612421873815414,0.37801454063257206,6.305417648681073,0.09763886010219955
narwhal_blk_size=1048576+diem_blk_len=1,60,3979.3333333333335,,94.30533,,0.45500820431351746,,1348.318547480513,,1.6510871790863566,,5.654843232182595,
narwhal_blk_size=1048576+diem_blk_len=1,64,4201.033333333334,,96.79993,,0.4563248526951841,,652.3923319854409,,3.7581966118679695,,5.906446843599653,
narwhal_blk_size=262144+diem_blk_len=4,4,30754.5,189.6121040440193,7.3472109,0.12416499522776123,5.747126436781609e-05,9.954314986028029e-05,5.261176833333333,9.11262558293767,0.014793054981294998,0.0003290797885514567,12.414029105649929,0.02817636075080544
narwhal_blk_size=262144+diem_blk_len=4,8,46385.5,247.35147058386372,23.333469333333337,0.30121227070179896,0.0005508030378830261,0.00027465341598172837,13.436866453439153,0.7146043439329397,0.027357266917682727,0.0021907932421838094,13.171702501246022,0.0125609955108216
narwhal_blk_size=262144+diem_blk_len=4,12,50822.5,2420.544721751697,38.69923333333333,0.4077004087971117,0.0007191710408340949,0.00018139907296290886,46.03929697003414,58.13640734573311,0.03743049466322132,0.0041780013872676925,13.079430073243437,0.25197049818011874
narwhal_blk_size=262144+diem_blk_len=4,16,48835.58888888889,1479.6111562514325,49.645372,0.17507794653810427,0.0021116043299335054,0.0009052344399513448,69.17090997107573,51.19192716187068,0.04957482434513652,0.003742391771968328,12.617396298215283,0.056936048932468585
narwhal_blk_size=262144+diem_blk_len=4,20,45256.14444444445,1728.4493038344854,57.90685166666666,0.3649397470985235,0.006400897725274548,0.0006028760854011501,89.27406711813494,52.165480831583196,0.057118635308487396,0.006664864819350602,12.507921772209249,0.12964529709048653
narwhal_blk_size=262144+diem_blk_len=4,24,37818.6,3960.986249660556,64.00824233333334,1.2074498343974107,0.01525203196464115,0.0021715167077275025,105.33225756278797,33.77789545732146,0.0853164633317891,0.012100667149013547,12.051630066121577,0.5375502232612219
narwhal_blk_size=262144+diem_blk_len=4,28,31888.411111111112,1199.6786173033286,72.90743333333333,0.5058801262239242,0.036480676377904565,0.005163590271598509,127.04722578849474,11.536137110369086,0.1477725246257342,0.0038818358627711502,11.595837498142508,0.2558730349244025
narwhal_blk_size=262144+diem_blk_len=4,32,26267.122222222224,1103.5742165715385,77.51560333333333,1.5534260810973042,0.059933749316747276,0.011994540014725604,140.18756505892622,30.596926153224377,0.22786534506694212,0.01762366917330106,10.408053804112662,0.34660777864850534
